"Id","Position","First Name","Last Name","FPPG","Played","Salary","Game","Team","Opponent","Injury Indicator","Injury Details","",""
"27134","WR","Dorial","Green-Beckham","3.9","2","5000","IND@TEN","TEN","IND","","","",""
"22128","QB","Ryan","Lindley","9.1","3","5000","JAC@NE","NE","JAC","","","",""
"6724","K","Steven","Hauschka","9","2","5000","CHI@SEA","SEA","CHI","","","",""
"27050","WR","Tyler","Lockett","7.1","2","5000","CHI@SEA","SEA","CHI","","","",""
"6778","TE","Anthony","Fasano","9.6","2","5000","IND@TEN","TEN","IND","","","",""
"21984","RB","Isaiah","Pead","-0.8","2","4900","PIT@STL","STL","PIT","NA","","",""
"21971","TE","Coby","Fleener","1.5","2","4900","IND@TEN","IND","TEN","","","",""
"26247","K","Brandon","McManus","13.5","2","4900","DEN@DET","DEN","DET","","","",""
"22898","RB","Brandon","Bolden","1.3","2","4900","JAC@NE","NE","JAC","","","",""
"34288","WR","Rannell","Hall","0","0","4900","TB@HOU","TB","HOU","","","",""
"34275","RB","Storm","Johnson","3.5","6","4900","JAC@NE","JAC","NE","","","",""
"31675","RB","Josh","Robinson","3.8","2","4900","IND@TEN","IND","TEN","","","",""
"33260","WR","DeVante","Parker","0.4","2","4900","BUF@MIA","MIA","BUF","","","",""
"37245","RB","Foswhitt","Whittaker","0.9","2","4900","NO@CAR","CAR","NO","Q","Shoulder","",""
"29314","TE","Richard","Rodgers","8.6","2","4900","KC@GB","GB","KC","","","",""
"32354","WR","Malcome","Kennedy","0","0","4900","NO@CAR","NO","CAR","","","",""
"10158","TE","Scott","Chandler","5.2","2","4900","JAC@NE","NE","JAC","","","",""
"38301","TE","Darren","Fells","8.1","2","4900","SF@ARI","ARI","SF","","","",""
"14757","RB","Matt","Asiata","2.5","2","4900","SD@MIN","MIN","SD","","","",""
"22292","RB","Lance","Dunbar","8.9","2","4900","ATL@DAL","DAL","ATL","","","",""
"39492","TE","Josh","Hill","0.4","2","4900","NO@CAR","NO","CAR","","","",""
"30807","TE","Mychal","Rivera","2","2","4900","OAK@CLE","OAK","CLE","","","",""
"39900","RB","Khiry","Robinson","7.9","2","4900","NO@CAR","NO","CAR","","","",""
"6668","K","Adam","Vinatieri","0.5","2","4900","IND@TEN","IND","TEN","","","",""
"6664","TE","Jacob","Tamme","6.6","2","4900","ATL@DAL","ATL","DAL","","","",""
"14362","TE","Charles","Clay","7.9","2","4900","BUF@MIA","BUF","MIA","","","",""
"6636","K","Mike","Nugent","7.5","2","4800","CIN@BAL","CIN","BAL","","","",""
"34073","QB","Ryan","Griffin","2.3","1","4800","TB@HOU","HOU","TB","IR","Knee","",""
"43956","QB","David","Fales","0","0","4800","CHI@SEA","CHI","SEA","","","",""
"26355","QB","Logan","Thomas","3.6","2","4800","BUF@MIA","MIA","BUF","","","",""
"29605","QB","Matt","Barkley","0","1","4800","SF@ARI","ARI","SF","","","",""
"22958","RB","Bobby","Rainey","1.6","2","4800","TB@HOU","TB","HOU","","","",""
"45797","QB","Garrett","Grayson","0","0","4800","NO@CAR","NO","CAR","","","",""
"29445","QB","Sean","Mannion","0","0","4800","PIT@STL","STL","PIT","NA","","",""
"22994","QB","Case","Keenum","12.4","2","4800","PIT@STL","STL","PIT","","","",""
"10030","WR","Harry","Douglas","5.1","2","4800","IND@TEN","TEN","IND","","","",""
"30364","QB","Aaron","Murray","0","0","4800","KC@GB","KC","GB","","","",""
"54705","QB","Dustin","Vaughan","0","0","4800","BUF@MIA","BUF","MIA","","","",""
"6387","WR","Miles","Austin","1.6","2","4800","PHI@NYJ","PHI","NYJ","","","",""
"28486","WR","Corey (Philly)","Brown","7.8","2","4800","NO@CAR","CAR","NO","","","",""
"22774","RB","Jonas","Gray","9.1","8","4800","BUF@MIA","MIA","BUF","","","",""
"11479","RB","Toby","Gerhart","5.1","14","4800","JAC@NE","JAC","NE","P","Abdomen","",""
"24760","QB","Sean","Renfree","0","0","4800","ATL@DAL","ATL","DAL","","","",""
"8023","QB","Josh","Johnson","0","0","4800","PHI@NYJ","NYJ","PHI","","","",""
"10354","RB","Marcel","Reece","9.1","2","4800","OAK@CLE","OAK","CLE","","","",""
"7975","RB","Mike","Tolbert","3.4","2","4800","NO@CAR","CAR","NO","","","",""
"31798","QB","Bryce","Petty","0","0","4800","PHI@NYJ","NYJ","PHI","","","",""
"6831","QB","Matt","Hasselbeck","4.2","4","4800","IND@TEN","IND","TEN","","","",""
"30788","QB","Tyler","Bray","0","0","4800","KC@GB","KC","GB","O","Knee","",""
"10647","K","Matt","Bryant","12","2","4800","ATL@DAL","ATL","DAL","","","",""
"6910","K","Robbie","Gould","14","2","4800","CHI@SEA","CHI","SEA","","","",""
"22187","QB","Chandler","Harnish","0","0","4800","SF@ARI","ARI","SF","","","",""
"29915","QB","Brett","Hundley","0","0","4800","KC@GB","GB","KC","","","",""
"6884","WR","Hakeem","Nicks","5.2","16","4800","IND@TEN","TEN","IND","","","",""
"22109","K","Greg","Zuerlein","8","2","4800","PIT@STL","STL","PIT","","","",""
"22100","K","Randy","Bullock","6.5","2","4800","TB@HOU","HOU","TB","","","",""
"11562","TE","Andrew","Quarless","0","2","4800","KC@GB","GB","KC","","","",""
"30910","RB","Zac","Stacy","0","1","4800","PHI@NYJ","NYJ","PHI","","","",""
"22018","WR","Mohamed","Sanu","3.2","2","4800","CIN@BAL","CIN","BAL","","","",""
